Sorrento F41L,470c76f9-e94c-4dbb-a697-16420609df75,15,45,disabled,connected,49,37.624775,-121.24742
Sorrento F20L,87736035-26c6-4acb-9af9-2fd689f83020,11,71,disabled,enabled,56,34.254475,-117.20675
iFruit 1,f66ecd55-3961-4374-ae60-836d9b44ecb0,11,35,disabled,enabled,14,45.70373,-121.742325
Sorrento F23L,f2140024-21ac-4706-aa9d-fa06a6ffe9b4,26,40,enabled,enabled,11,38.262604,-121.78073
Sorrento F31L,8da47529-542f-4205-b10f-3df6421800b5,33,48,connected,connected,61,33.928688,-118.29584
Ronin Novelty Note 1,0ad4c8b6-3986-4d35-b5da-af431aa70489,21,47,enabled,enabled,64,33.830074,-118.18697
Sorrento F41L,85039e9f-7e02-4a2b-871d-857e2430999f,23,42,connected,connected,65,33.66741,-109.06301
Sorrento F41L,48977856-b7dc-41e6-a041-f3a93559653a,23,59,connected,enabled,48,37.76581,-121.429756
iFruit 3A,00dc92bc-560c-4462-9fd4-299ae19fece0,31,71,connected,enabled,54,35.2285,-114.441475
Sorrento F41L,29716f8f-84c6-4a48-9641-07d0472cca31,18,61,enabled,enabled,63,36.018276,-114.48754
Sorrento F01L,ae5c8754-612f-4fb3-bd48-277473e05ccc,34,30,connected,enabled,0,33.955254,-116.750755
Sorrento F32L,f1070194-be3d-46ef-b251-574f21d79ad0,19,89,enabled,connected,18,0.0,0.0
Sorrento F41L,50effc4f-1dc3-42ec-98e9-3cccbe2a92e2,24,66,connected,disabled,64,36.188072,-114.48541
iFruit 3,8f45fd83-adbd-409d-ae5d-17fb02613770,23,28,disabled,disabled,44,34.940018,-115.81902
iFruit 3,2bbc5257-8bd3-4111-82f2-76e0ccc0dd52,18,31,disabled,enabled,15,34.608364,-118.17441
Ronin Novelty Note 1,b954db08-1f97-4311-8d42-1a7ba39d8dcf,33,58,enabled,disabled,39,32.34016,-111.4907
iFruit 1,372f5d18-a58c-4808-8c2c-e8bf82915ff5,18,21,disabled,connected,36,37.885464,-121.897285
Sorrento F21L,d9f856a2-1231-4a12-810f-396c4132ee5e,23,87,connected,enabled,53,32.23341,-111.79522
iFruit 1,61f3f622-427a-4020-98e6-d6a4fccc369c,31,49,enabled,disabled,29,40.01511,-122.513664
Ronin Novelty Note 2,be9df131-bca1-4495-a185-eff4c17d7d89,12,67,enabled,disabled,65,34.385155,-117.9982
Sorrento F40L,c859ff23-f46e-4bb7-b491-05f4b783c4bf,28,53,enabled,enabled,44,33.83515,-118.18345
Sorrento F41L,b1ae07a6-68f0-4506-a9fe-1a027139210d,28,24,disabled,connected,77,40.1515,-122.5711
Sorrento F41L,0de90872-1749-4c3e-9099-f40ccef39275,25,71,disabled,enabled,61,38.19609,-122.19789
Sorrento F41L,b49a53da-4abd-426e-af8d-f60a5f48e212,16,21,connected,disabled,53,34.382477,-119.38342
Sorrento F10L,45a21560-3e4a-4e95-924b-4acfc98ac974,32,62,enabled,connected,18,33.958702,-117.90947
iFruit 4A,41347bf5-46f8-4229-8c48-8aea08c26f0d,13,54,enabled,enabled,44,39.621796,-120.25677
iFruit 2,9312a4ed-3506-4915-b830-f84f8858d016,20,24,enabled,enabled,33,36.299034,-120.80942
Sorrento F22L,260f05cd-2db8-49ff-90d0-2e9e9b3abd28,11,29,disabled,enabled,13,34.590744,-117.45418
Sorrento F41L,4f669bd4-cc7d-44d5-ba32-123090822ab3,19,21,enabled,connected,42,35.845478,-120.18628
Sorrento F10L,a0886049-7e27-496c-a47e-d6225b58b368,31,40,enabled,disabled,66,34.32511,-118.54522
Sorrento F20L,077ea017-3de3-4f14-8964-56ab9c987bb5,13,50,disabled,enabled,62,40.623795,-119.23744
Sorrento F41L,20b671b4-2467-42d4-9b41-5d3784360b9f,29,49,enabled,connected,42,37.862045,-121.780624
Ronin Novelty Note 1,1b989500-5a0d-45aa-aa84-d1c2b20c0905,34,60,enabled,enabled,13,38.57775,-121.373726
iFruit 5,57ecb656-f558-4b7e-8a29-7941de477b91,12,61,connected,enabled,36,37.376553,-121.821846
Sorrento F20L,2b45f3ab-36ab-4334-8197-2dfcecf1c148,25,47,disabled,enabled,23,34.229137,-118.39071
Sorrento F10L,09229294-523f-4868-bf2a-2b4b6b3e07dd,13,51,enabled,enabled,38,39.369026,-120.32672
iFruit 2,1259ddb9-fb7b-4c7e-ad3a-7c61b365bd31,27,61,connected,enabled,53,33.985317,-118.216385
Sorrento F41L,732fe230-a200-4736-a512-511670148a18,25,54,disabled,enabled,91,34.18653,-118.115776
Sorrento F41L,97e0c0aa-287b-4b94-8649-8a48cc987981,34,57,enabled,connected,75,34.42487,-118.04541
