Sorrento F41L,7ee93fe5-c646-4615-aa0d-cb7ef7041503,10,35,connected,disabled,68,0.0,0.0
Sorrento F01L,a7490557-b660-49b4-aa78-b303c2b4cc06,34,39,enabled,enabled,39,0.0,0.0
Sorrento F11L,5812dc7b-4918-42d1-bd21-321a494cfe73,23,96,enabled,disabled,27,37.43748,-122.02737
Sorrento F11L,85e5f848-8ef8-45bf-8691-695340e9bdbc,29,21,enabled,enabled,7,37.23247,-121.419205
Sorrento F11L,31d1e608-202c-4f0f-b284-9af4e14e2ba3,26,59,enabled,enabled,29,34.164776,-117.811516
Sorrento F21L,f7e524db-e184-4384-a25b-5a6e83db09be,16,86,connected,connected,0,33.462315,-116.83738
Sorrento F41L,08c613ba-70e7-4ee1-8417-907bcbd1df8b,30,31,enabled,enabled,53,34.11498,-117.65591
iFruit 1,5aa621ef-7cfb-467e-afdc-e566c7e33d81,31,74,disabled,connected,56,32.97697,-116.33076
Sorrento F11L,1cae34c9-32f4-4640-8a49-ae75fc0294cc,17,78,disabled,connected,24,34.341713,-116.42467
iFruit 3,8c8ec306-2950-46d8-b74b-3cb75ff16e5f,18,27,enabled,enabled,27,37.10824,-121.94435
Ronin Novelty Note 1,f66d5068-1caf-4b77-acdd-2bc473d6facc,27,54,enabled,disabled,69,37.240322,-121.83328
Sorrento F41L,499bed60-7af9-4190-b0b8-526313ba5871,21,57,connected,connected,92,32.828995,-116.54536
Sorrento F11L,0bd0389d-1022-45d0-a105-a7eb3e7ceb8a,10,31,disabled,connected,38,38.880154,-122.89969
Sorrento F24L,7989e533-854b-4110-9fda-75c62cff5283,17,93,disabled,enabled,42,33.63638,-111.463615
iFruit 2,644e2a4b-e537-4c25-9991-a6412e457e9f,22,41,disabled,connected,40,34.05483,-117.84914
Sorrento F41L,7b210da3-c493-4041-9c9c-2d63ce51b003,24,52,enabled,enabled,86,0.0,0.0
Sorrento F31L,d47e963a-3c93-4a4a-be9c-5f90d23276d0,17,84,disabled,disabled,60,38.465744,-120.97528
Sorrento F41L,db1d3967-cde0-4246-aa1d-fa536b6f63de,24,54,enabled,disabled,89,33.867374,-117.66524
Sorrento F22L,ced97317-33d9-472a-af4b-c38a6ff2f93e,27,36,enabled,enabled,56,34.424343,-117.86288
Sorrento F41L,6dc93e9c-7bdb-482f-a9d7-2737eb311b2b,32,65,enabled,connected,80,33.935688,-112.047485
Sorrento F41L,f913cf9e-2bd4-42e7-a43c-3d4e597ac5f5,14,25,connected,connected,54,34.57076,-117.989815
Sorrento F41L,77f8533a-3e82-4ebc-b163-ae003be962b4,30,52,connected,connected,53,36.45462,-114.68616
Sorrento F23L,01043939-92f2-4e07-be4a-087f514380c0,30,24,enabled,enabled,14,38.5387,-120.96102
Sorrento F41L,ea72f7eb-3e7a-443c-b058-8afbe6eb27a2,11,34,enabled,enabled,91,34.723793,-119.728615
iFruit 1,2365b478-b7b1-4088-b8a6-d2df0d0c97ae,25,53,enabled,connected,18,35.258175,-115.55436
Sorrento F01L,ae5c8754-612f-4fb3-bd48-277473e05ccc,11,24,enabled,disabled,34,34.272327,-116.67444
Sorrento F23L,da3ab174-74db-423b-9b4f-343522a5a45c,13,70,connected,enabled,16,37.717957,-121.91993
Sorrento F23L,6bdd55fe-421c-4f88-9140-bd6c1521b329,20,59,disabled,enabled,22,42.73049,-122.55366
iFruit 4A,9ac5559e-34a7-4850-9e9e-3b199c339f58,27,64,enabled,enabled,16,33.139503,-116.5977
Sorrento F40L,cc791bbb-3068-445f-a90a-4ea014e1e22b,22,78,disabled,connected,48,45.43591,-122.370125
iFruit 3A,6c3e1dfb-1b13-43e2-b353-6c6e45879035,28,91,enabled,connected,13,39.60377,-114.59107
Sorrento F00L,07bf4dbc-7041-4422-82f5-a62f02e89b67,18,65,enabled,connected,44,32.771114,-116.872025
Sorrento F20L,7d240056-3721-4fd2-908b-fce33c3c522a,33,90,enabled,enabled,63,45.55461,-122.725655
Sorrento F33L,0dad6e6a-f2b9-43a9-b0a9-0fc1c2621c2b,21,81,connected,disabled,31,37.14896,-121.843704
Sorrento F21L,6ac0a06f-b1b0-42ae-83ef-d5c4a93560c2,20,58,enabled,enabled,33,33.89132,-118.14826
